id,name,aliases,datasheet,What is the Leaf Bud arrangement?,q1 image,What type of leaf does it have?,q2 image,Can you describe the bark?,Q3 Image,What Type of Flower Does it Have?,Flower Image,What does the fruit look like? ,Fruit/Seed Image,What is the fall color?,Fall Image
D1,Snow Mantle® gray dogwood,Cornus racemosa 'Jade' | Cornus | Cornus racemosa | gray dogwood | dogwood,Care_Cornus_racemosa_Jade.pdf,Opposite,Cornaceae/Cornus_racemosa_Jade/Cornus_racemosa_Jade_Bud.jpg,Simple,Cornaceae/Cornus_racemosa_Jade/Cornus_racemosa_Jade_LeafS.JPG,Rough,Cornaceae/Cornus_racemosa_Jade/Cornus_racemosa_Jade_Bark.jpg,Cymes,Cornaceae/Cornus_racemosa_Jade/Cornus_racemosa_Jade_Flower.JPG,Drupe,Cornaceae/Cornus_racemosa_Jade/Cornus_racemosa_Jade_Fruit.jpg,Purplish-Red,Cornaceae/Cornus_racemosa_Jade/Cornus_racemosa_Jade_LeafF.jpg
D2,Golden Carousel® barberry,Berberis x'Bailsel' | Barberry | Golden Carousel | Berberis,Care_Berberis_xBailsel.pdf,Alternate,Berberidaceae/Berberis_xBailsel/Berberis_xBailsel_Bud.jpg,Simple,Berberidaceae/Berberis_xBailsel/Berberis_xBailsel_LeafS.JPG,Ridged,Berberidaceae/Berberis_xBailsel/Berberis_xBailsel_Bark.jpg,,Berberidaceae/Berberis_xBailsel/Berberis_xBailsel_Flower.jpg,,Berberidaceae/Berberis_xBailsel/Berberis_xBailsel_Fruit.jpg,Orange,Berberidaceae/Berberis_xBailsel/Berberis_xBailsel_LeafF.jpg
D3,Cinnamon Curls® Korean birch,Betula costata 'CinnDak' | Cinnamon Curls | Birch | Korean birch | Betula | Betula costata | Cinnamon curls birch,Care_Betula_costata_CinnDak.pdf,Alternate,Betulaceae/Betula_costata_CinnDak/Betula_costata_CinnDak_Bud.jpg,Simple,Betulaceae/Betula_costata_CinnDak/Betula_costata_CinnDak_LeafS.jpg,Exfoliating,Betulaceae/Betula_costata_CinnDak/Betula_costada_CinnDak_Bark.jpg,Catkins,Betulaceae/Betula_costata_CinnDak/Betula_costata_CinnDak_Fruit.jpg,Strobiles,,Yellow,Betulaceae/Betula_costata_CinnDak/Betula_costata_CinnDak_LeafF.jpg
D4,Ginkgo,Ginkgo biloba | Maidenhair tree,Care_Ginkgo_biloba.pdf,Alternate,Ginkgoaceae/Ginkgo_biloba/Ginkgo_biloba_Bud.jpg,Simple,Ginkgoaceae/Ginkgo_biloba/Ginkgo_biloba_LeafS.jpg,Rough,Ginkgoaceae/Ginkgo_biloba/Ginkgo_biloba_Bark.jpg,,,,Ginkgoaceae/Ginkgo_biloba/Ginkgo_biloba_Fruit.jpg,Green-Yellow,Ginkgoaceae/Ginkgo_biloba/Ginkgo_biloba_LeafF.jpg
D5,Prairie Horizon® Manchurian alder,Alnus hirsuta 'Harbin' | Alder | Alnus hirsuta | Alnus | Manchurian alder,Care_Alnus_hirsuta_Harbin.pdf,Alternate,Betulaceae/Alnus_hirsuta_Harbin/Alnus_hirsuta_Harbin_Bud.jpg,Simple,Betulaceae/Alnus_hirsuta_Harbin/Alnus_hirsuta_Harbin_LeafS.JPG,Smooth,Betulaceae/Alnus_hirsuta_Harbin/Alnus_hirsuta_Harbin_Bark.jpg,Catkins,Betulaceae/Alnus_hirsuta_Harbin/Alnus_hirsuta_Harbin_Flower.jpg,Nutlet,Betulaceae/Alnus_hirsuta_Harbin/Alnus_hirsuta_Harbin_Fruit.jpg,Yellow,Betulaceae/Alnus_hirsuta_Harbin/Alnus_hirsuta_Harbin_LeafF.jpg
D6,Katsuratree,Cercidiphyllum japonicum | Katsura | Cercidiphyllum,Care_Cercidiphyllum_japonicum.pdf,Opposite,Cercidiphyllaceae/Cercidiphyllum_japonicum/Cercidiphyllum_japonicum_Bud.jpg,Simple,Cercidiphyllaceae/Cercidiphyllum_japonicum/Cercidiphyllum_japonicum_LeafS.JPG,Ridged,Cercidiphyllaceae/Cercidiphyllum_japonicum/Cercidiphyllum_japonicum_Bark.jpg,,Cercidiphyllaceae/Cercidiphyllum_japonicum/Cercidiphyllum_japonicum_Flower.jpeg,,Cercidiphyllaceae/Cercidiphyllum_japonicum/Cercidiphyllum_japonicum_Fruit.jpg,Apricot,Cercidiphyllaceae/Cercidiphyllum_japonicum/Cercidiphyllum_japonicum_LeafF.jpg
D7,Copper Curls® Pekin lilac,Syringa reticulata ssp. pekinensis 'SunDak' | Syringa | Syringa reticulata | Copper curls | Lilac | Pekin lilac | Syringa reticulata ssp. pekinensis,Care_Syringa_pekinensis_SunDak.pdf,Opposite,Oleaceae/Syringa_pekinensis_SunDak/Syringa_pekinensis_SunDak_Bud.jpg,Simple,,Exfoliating,Oleaceae/Syringa_pekinensis_SunDak/Syringa_pekinensis_SunDak_Bark.jpg,,Oleaceae/Syringa_pekinensis_SunDak/Syringa_pekinensis_SunDak_Flower.JPG,,Oleaceae/Syringa_pekinensis_SunDak/Syringa_pekinensis_SunDak_Fruit.jpg,Yellow,Oleaceae/Syringa_pekinensis_SunDak/Syringa_pekinensis_SunDak_LeafF.jpg
D8,Hybrid rose,Rose | Rosa ,,Alternate,,Odd Pinnate,Rosaceae/Rosa_hybrid/Rosa_hybrids_LeafS.JPG,Ridged,Rosaceae/Rosa_hybrid/Rosa_hybrids_Bark.jpg,,Rosaceae/Rosa_hybrid/Rosa_hybrid_Flower.jpg,,Rosaceae/Rosa_hybrid/Rosa_hybrid_Fruit.jpg,,Rosaceae/Rosa_hybrid/Rosa_hybrid_LeafF.jpg
